placekey,location_name,brands,top_category,sub_category,category_tags,naics_code,latitude,longitude,poi_cbg,street_address,city,region,postal_code,open_hours,wkt_area_sq_meters,polygon_wkt
224-222@62k-rfk-tjv,Antonio's,"",Restaurants and Other Eating Places,Full-Service Restaurants,Pizza,722511,42.261587,-71.822667,250277314005,268 Chandler St,Worcester,MA,1602,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""11:00"""""""""""""""", """"""""""""""""23:00""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""11:00"""""""""""""""", """"""""""""""""23:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""11:00"""""""""""""""", """"""""""""""""23:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""11:00"""""""""""""""", """"""""""""""""24:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""11:00"""""""""""""""", """"""""""""""""24:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [[""""""""""""""""11:00"""""""""""""""", """"""""""""""""24:00""""""""""""""""]], """"""""""""""""Sun"""""""""""""""": [[""""""""""""""""11:00"""""""""""""""", """"""""""""""""23:00""""""""""""""""]] }",380,"POLYGON ((-71.82270822321766 42.26171387160946, -71.8225439379155 42.26167909391787, -71.8226337919175 42.26143865402565, -71.82273906862133 42.261461978472276, -71.82273504530781 42.26148133279377, -71.82279137169712 42.26149423567149, -71.82270822321766 42.26171387160946))"
224-222@62k-rfk-vfz,Jelly's Discs,"","Sporting Goods, Hobby, and Musical Instrument Stores","Hobby, Toy, and Game Stores","",451120,42.265423,-71.819165,250277308022,246 Park Ave,Worcester,MA,1609,"",1441,"POLYGON ((-71.81908152799997 42.26527015800008, -71.81955392799995 42.26541599300003, -71.81950117799994 42.265513586000054, -71.81947507999996 42.265541452000036, -71.81940804499999 42.26552199100007, -71.81934050699994 42.265646944000025, -71.81884989399998 42.26549711000007, -71.81885961799998 42.26547147200006, -71.81897346599999 42.26525155100006, -71.81907556499993 42.26528119100004, -71.81908152799997 42.26527015800008))"
224-222@62k-rfk-vxq,Ed Hyder's Mediterranean Marketplace,"","Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores","Alcoholic Beverages,Gourmet",445310,42.26329,-71.815849,250277315004,408 Pleasant St,Worcester,MA,1609,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Sun"""""""""""""""": [] }",210,"POLYGON ((-71.81575298799999 42.26322507900005, -71.81589096899995 42.263199401000065, -71.81594511499998 42.26335568400003, -71.81580713499994 42.263381362000075, -71.81575298799999 42.26322507900005))"
224-222@62k-rfk-w49,FinishMaster,FinishMaster,Automotive Repair and Maintenance,"Automotive Body, Paint, and Interior Repair and Maintenance",Body Shops,811121,42.262892,-71.817871,250277315005,462 Pleasant St,Worcester,MA,1609,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [], """"""""""""""""Sun"""""""""""""""": [] }",1092,"POLYGON ((-71.81772682799993 42.263086404000035, -71.81781311399999 42.26290247400004, -71.81772657599998 42.26288066700005, -71.81778310899995 42.26276016200006, -71.81771387699996 42.26274271700004, -71.81776148299997 42.26264123800007, -71.81821148699999 42.26275463200005, -71.81816388199996 42.26285611000003, -71.81800810999994 42.262816859000054, -71.81795157799996 42.26293736500003, -71.81790830899996 42.26292646100006, -71.81790235699998 42.262939146000065, -71.81799755099996 42.26296313300003, -71.81791721599996 42.263134378000075, -71.81772682799993 42.263086404000035))"
224-222@62k-rfm-2ff,Vertical World Adventure,"","Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools","",611310,42.276779,-71.831365,250277308021,45 Richmond Ave,Worcester,MA,1602,"",118,"POLYGON ((-71.83126900499997 42.27674487000007, -71.83146313699996 42.27674744400008, -71.83146149799995 42.27681382800006, -71.83126736599996 42.27681125500004, -71.83126900499997 42.27674487000007))"
224-222@62k-rfm-54v,IHN Worcester Shelter,"","Community Food and Housing, and Emergency and Other Relief Services",Temporary Shelters,"",624221,42.26581,-71.831742,250277309012,91 June St,Worcester,MA,1602,"",221,"POLYGON ((-71.83160604199998 42.265776748000064, -71.83169660799996 42.265710332000026, -71.83187785799998 42.265843077000056, -71.83178729299993 42.26590949300004, -71.83160604199998 42.265776748000064))"
224-222@62k-rfm-6zf,Donut Cafe II,"",Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"Brunch,Cafe,Donut Shop",722515,42.263806,-71.83383,250277311023,414 Chandler St,Worcester,MA,1602,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""5:00"""""""""""""""", """"""""""""""""15:00""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""5:00"""""""""""""""", """"""""""""""""15:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""5:00"""""""""""""""", """"""""""""""""15:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""5:00"""""""""""""""", """"""""""""""""15:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""5:00"""""""""""""""", """"""""""""""""15:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [[""""""""""""""""6:00"""""""""""""""", """"""""""""""""14:00""""""""""""""""]], """"""""""""""""Sun"""""""""""""""": [[""""""""""""""""6:00"""""""""""""""", """"""""""""""""14:00""""""""""""""""]] }",170,"POLYGON ((-71.83386368411473 42.26388928892787, -71.83371415096215 42.26379649092769, -71.83379059391908 42.2637245351651, -71.83394750314645 42.26381534828637, -71.83386368411473 42.26388928892787))"
224-222@62k-rfm-f2k,Peter Stathoulopoulos DMD,"",Offices of Dentists,Offices of Dentists,"",621210,42.280546,-71.812664,250277308012,251 Salisbury St,Worcester,MA,1609,"{ """"""""""""""""Mon"""""""""""""""": [], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [], """"""""""""""""Sat"""""""""""""""": [], """"""""""""""""Sun"""""""""""""""": [] }",308,"POLYGON ((-71.81267407899998 42.28066479600005, -71.81263301599995 42.280620371000055, -71.81258754299995 42.28064293600005, -71.81253107999999 42.28058185200007, -71.81256897399999 42.280563046000054, -71.81253817599998 42.280529727000044, -71.81268975399996 42.28045450600007, -71.81281807699997 42.28059333600004, -71.81267407899998 42.28066479600005))"
224-222@62k-rfm-jd9,Schlickman Mark J MD,"",Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"",621111,42.266406,-71.81091,250277316004,23 Fruit St,Worcester,MA,1609,"",142,"POLYGON ((-71.81085096399994 42.26634379400008, -71.81099676299993 42.26636571800003, -71.81096814699998 42.26646792300005, -71.81082234799999 42.26644599900004, -71.81085096399994 42.26634379400008))"
224-222@62k-rfm-k4v,Mark J Forgues OD,"",Offices of Other Health Practitioners,Offices of Optometrists,Optometrists,621320,42.269807,-71.814299,250277316004,152 Russell St,Worcester,MA,1609,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Sun"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]] }",191,"POLYGON ((-71.81424192299994 42.26975949200005, -71.81446135999994 42.26977133100007, -71.81445185599995 42.269865924000044, -71.81423241999994 42.26985408500008, -71.81424192299994 42.26975949200005))"
224-222@62k-rfm-n89,Bean Counter Coffee Bar & Bakery,"",Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"Bakery,Coffee Shop",722515,42.270887,-71.807075,250277316005,113 Highland St,Worcester,MA,1609,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""6:30"""""""""""""""", """"""""""""""""22:00""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""6:30"""""""""""""""", """"""""""""""""22:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""6:30"""""""""""""""", """"""""""""""""22:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""6:30"""""""""""""""", """"""""""""""""22:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""6:30"""""""""""""""", """"""""""""""""23:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [[""""""""""""""""7:00"""""""""""""""", """"""""""""""""23:00""""""""""""""""]], """"""""""""""""Sun"""""""""""""""": [[""""""""""""""""7:00"""""""""""""""", """"""""""""""""22:00""""""""""""""""]] }",248,"POLYGON ((-71.80715334699994 42.270849103000046, -71.80715109999994 42.27097612800003, -71.80701047299993 42.27098903400008, -71.80698764599998 42.270807931000036, -71.80713586099995 42.27079789800007, -71.80714240999998 42.270849844000054, -71.80715334699994 42.270849103000046))"
224-222@62k-rfp-p35,Oasis Bodywork Spa,"",Personal Care Services,Other Personal Care Services,"",812199,42.27578,-71.851491,250277309023,1 Annisquam St,Worcester,MA,1602,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""21:30""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""21:30""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""21:30""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""21:30""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""21:30""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""21:30""""""""""""""""]], """"""""""""""""Sun"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""21:30""""""""""""""""]] }",180,"POLYGON ((-71.85137344599997 42.27576259700004, -71.85156924999995 42.27571315200004, -71.85160931499996 42.27579834200003, -71.85146246199997 42.27583542700006, -71.85147089599997 42.27585336100003, -71.85142194599996 42.27586572300004, -71.85137344599997 42.27576259700004))"
224-222@62k-rfq-cbk,Kula Yoga & Wellness,"",Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,"Reiki,Yoga",713940,42.277704,-71.851387,250277309023,1094 Pleasant St,Worcester,MA,1602,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""16:00"""""""""""""""", """"""""""""""""20:30""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""17:30"""""""""""""""", """"""""""""""""20:30""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""17:30"""""""""""""""", """"""""""""""""20:30""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""6:30"""""""""""""""", """"""""""""""""20:30""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""17:30"""""""""""""""", """"""""""""""""20:30""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [[""""""""""""""""8:30"""""""""""""""", """"""""""""""""14:00""""""""""""""""]], """"""""""""""""Sun"""""""""""""""": [] }",44,"POLYGON ((-71.85132420693027 42.27769855153701, -71.85142411921608 42.27766828717778, -71.85144758854496 42.277709962685044, -71.85135907564747 42.277739234751095, -71.85132420693027 42.27769855153701))"
224-222@62k-rfq-cnq,Body Work Relax Center,"",Offices of Other Health Practitioners,Offices of All Other Miscellaneous Health Practitioners,"Acupuncture,Massage Therapy",621399,42.278155,-71.84876,250277309023,1062 Pleasant St,Worcester,MA,1602,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""21:00""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""21:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""21:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""21:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""21:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [], """"""""""""""""Sun"""""""""""""""": [] }",141,"POLYGON ((-71.84870883099995 42.27811299500007, -71.84886880099998 42.27809517900005, -71.84888825199994 42.27818895200005, -71.84872828199997 42.278206768000075, -71.84870883099995 42.27811299500007))"
224-222@62k-rfq-py9,Bushel 'N Peck,"",Restaurants and Other Eating Places,Limited-Service Restaurants,"Catering,Deli",722513,42.277484,-71.853045,250277307004,643 Chandler St,Worcester,MA,1602,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""19:00""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""19:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""19:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""19:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""8:00"""""""""""""""", """"""""""""""""19:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [[""""""""""""""""9:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]], """"""""""""""""Sun"""""""""""""""": [[""""""""""""""""10:00"""""""""""""""", """"""""""""""""18:00""""""""""""""""]] }",245,"POLYGON ((-71.8531528332248 42.27754766643075, -71.85305660897639 42.27758413257092, -71.8529799641251 42.27747849083067, -71.85290519754881 42.27750751493502, -71.85285636461609 42.277438480508344, -71.85296030021541 42.27739630868222, -71.85297102905147 42.27741243320731, -71.85303406096332 42.27738688203487, -71.8531528332248 42.27754766643075))"
224-222@62k-rfq-qfz,Dunkin',Dunkin',Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"Snacks,Counter Service,Dessert,Donut Shop,Coffee Shop",722515,42.277785,-71.854057,250277307004,648 Chandler St,Worcester,MA,1602,"{ """"""""""""""""Mon"""""""""""""""": [[""""""""""""""""5:00"""""""""""""""", """"""""""""""""20:00""""""""""""""""]], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""5:00"""""""""""""""", """"""""""""""""20:00""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""5:00"""""""""""""""", """"""""""""""""20:00""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [[""""""""""""""""5:00"""""""""""""""", """"""""""""""""20:00""""""""""""""""]], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""5:00"""""""""""""""", """"""""""""""""20:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [[""""""""""""""""5:00"""""""""""""""", """"""""""""""""20:00""""""""""""""""]], """"""""""""""""Sun"""""""""""""""": [[""""""""""""""""5:00"""""""""""""""", """"""""""""""""20:00""""""""""""""""]] }",131,"POLYGON ((-71.85396804399994 42.27774184500004, -71.85405978999995 42.27770665500003, -71.85414683499994 42.27782850400007, -71.85405508899998 42.277863694000075, -71.85396804399994 42.27774184500004))"
224-222@62k-rfq-qxq,Poppylove Massage,"",Personal Care Services,Other Personal Care Services,Massage Therapy,812199,42.28064,-71.85961,250277307002,116 Mower St,Worcester,MA,1602,"{ """"""""""""""""Mon"""""""""""""""": [], """"""""""""""""Tue"""""""""""""""": [[""""""""""""""""9:30"""""""""""""""", """"""""""""""""19:15""""""""""""""""]], """"""""""""""""Wed"""""""""""""""": [[""""""""""""""""9:30"""""""""""""""", """"""""""""""""19:15""""""""""""""""]], """"""""""""""""Thu"""""""""""""""": [], """"""""""""""""Fri"""""""""""""""": [[""""""""""""""""9:30"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Sat"""""""""""""""": [[""""""""""""""""10:00"""""""""""""""", """"""""""""""""17:00""""""""""""""""]], """"""""""""""""Sun"""""""""""""""": [] }",335,"POLYGON ((-71.85960430499995 42.280773458000056, -71.85961636299999 42.280688551000026, -71.85957129999997 42.28068511500004, -71.85958469799994 42.28059077300003, -71.85952675899995 42.28058635600007, -71.85954618799997 42.28044956000008, -71.85971356699997 42.28046232300005, -71.85969480899996 42.28059440200008, -71.85964974599995 42.280590965000044, -71.85963634699993 42.280685307000056, -71.85970072499998 42.28069021600004, -71.85968799499994 42.28077984000004, -71.85960430499995 42.280773458000056))"
224-222@62k-rfr-g6k,Bk Courier Express,"",Couriers and Express Delivery Services,Couriers and Express Delivery Services,Couriers,492110,42.310396,-71.830842,250277306001,26 Green Farms Rd,Worcester,MA,1605,"",117,"POLYGON ((-71.83077579499997 42.310365766000075, -71.83087511099995 42.310344162000035, -71.83092304399997 42.31046236900005, -71.83082372799998 42.31048397400008, -71.83077579499997 42.310365766000075))"
